,location
1216,"Sydney, New South Wales"
1217,"North Carolina, USA"
1218,"California, USA"
1219,United States
1220,Malaysia
1221,New Brunswick
1222,"California, USA"
1223,"Modesto, CA"
1224,Ct
1225,"Seattle, Washington, USA"
1226,Trinidad
1227,"Michigan, USA"
1228,"New Delhi, India"
1229,"Sacramento, CA"
1230,"Middleton, NS"
1231,"Kentucky, USA"
1232,"Washington, DC"
1233,Maryland
1234,GLOBAL
1235,New Zealand
1236,"Boulder, CO"
1237,Atlantis
1238,"New Delhi, India"
1239,Malaysia
1240,"Bengaluru, India"
1241,"Diamond Bar, CA"
1242,"Austin, Texas"
1243,"Charlotte, NC"
1244,"Orlando, FL"
1245,United States
1246,The S.S. Shambles
1247,LBK
1248,"Michigan, USA"
1249,717
1250,Total Universe
1251,Ashland
1252,"Virginia, USA"
1253,✪The United States Of America✪
1254,"McKinney, TX"
1255,"New York, USA"
1256,"Austin, TX"
1257,NYC
1258,United States
1259,"Orlando, FL"
1260,Los Angeles
1261,"Fort Worth, TX"
1262,"Chicago, IL"
1263,"Antwerpen, België"
1264,brooklyn
1265,"Toronto, Ontario"
1266,United States
1267,"Boston, MA"
1268,Wallumedegal Country
1269,"Florida, USA"
1270,AZ
1271,Okla
1272,Madinah 🕌
1273,"Toronto, Ontario"
1274,jigoku
1275,"cbus
"
1276,somewhere else
1277,"Fort Worth, TX"
1278,some hell hole
1279,Mackay
1280,716
1281,United States
1282,Edinburg Texas
1283,Minnesota
1284,Mackay
1285,"Belmont, NC"
1286,Ontario
1287,"Bogotá, D.C., Colombia"
1288,"DeLand, Ormond, Daytona Beach, Port Orange, Ponce Inlet"
1289,United States
1290,"Sulphur, LA"
1291,Probably in bed 🛏 
1292,"Johor Bahru, Johor"
1293,Ottawa
1294,"Belle Chasse, LA"
1295,"Texas, USA"
1296,Instagram @dreams_4_sale 
1297,"Philadelphia, PA"
1298,"Charlotte, NC"
1299,"Kearney, NE"
1300,Devil's Triangle ☠
1301,"Michigan, USA"
1302,New England
1303,yorkshire
1304,MY
1305,"U.S. West Coast, Alameda CA"
1306,"Tatamagouche, Nova Scotia"
1307,New York
1308,D T X
1309,"New York, NY"
1310,"Hot Springs, AR"
1311,"Washington, DC"
1312,"Monroeville, AL"
1313,London
1314,"Hollywood , CA"
1315,"Provo, Utah. "
1316,los angeles
1317,"Sarasota, FL"
1318,"Washington Heights, New York"
1319,"La Jolla, San Diego"
1320,k-dramas
1321,"Sugar Land, TX"
1322,"Iowa, USA"
1323,US
1324,"Double Springs, AL"
1325,"Ile-de-France, France"
1326,west indiana
1327,Portland
1328,"Fort Stockton, TX"
1329,440
1330,🌏
1331,USA
1332,The REPUBLIC of Texas!
1333,"Peshawar, Pakistan"
1334,US
1335,https://twitter.com/nick_mrtikki3
1336,"Sacramento, CA"
1337,waterloo
1338,"Elmira, NY"
1339,"Texas, USA"
1340,"East Coast, USA"
1341,United States
1342,USA
1343,"Ile-de-France, France"
1344,WorldWide 
1345,"Minnesota, USA"
1346,"Arkansas, USA"
1347,"Philadelphia, PA, USA"
1348,Ohio valley
1349,United States
1350,United States
1351,Colorado
1352,"California, USA"
1353,Sheffield
1354,Sheffield
1355,Canada
1356,"Tulsa, OK"
1357,SoCal
1358,"Milwaukee, WI"
1359,Mister Rogers’ Neighborhood
1360,มู้อังแลนด์
1361,"Scarborough, Ontario, Canada"
1362,"deep ,in a command bunker"
1363,"Staten Island, NY"
1364,DET MI USA
1365,"ÜT: 34.8282831,-82.6053906"
1366,"East Coast, USA"
1367,"Oceanside, CA"
1368,United States
1369,"Cincinnati,Ohio"
1370,"West Valley City, UT"
1371,"Selangor, Malaysia"
1372,HKG ✈ NYC ✈ LON ✈ SYD
1373,PHL👣NYC
1374,Legit greatest country~
1375,"Woodland, WA"
1376,"""You can't get rich in politics unless you're a crook."" ~ Harry S. Truman"
1377,UAA
1378,Australia
1379,United States
1380,"Tampa, FL"
1381,USA
1382,where the blacktop ends
1383,"Oakley, CA"
1384,"California, USA"
1385,"Washington, USA"
1386,Australia
1387,Australia
1388,my home
1389,"Illinois, USA"
1390,"California, USA"
1391,Twitmo 😴 LA (Lower Alabama)
1392,United States
1393,𝚝𝚡𝚝❣︎
1394,sf🌈
1395,Minneapolis
1396,"Boston, MA"
1397, Carolyn's Heart
1398,"Texas, USA"
1399,"Indianapolis, IN"
1400,"Sacramento, CA"
1401,US
1402,Singapore
1403,"Buffalo, NY "
1404,TX
1405,NY Is a shithole
1406,"Dallas, TX"
1407,"Stanford, CA, USA"
1408,Ottawa
1409,Boston #MAGA #TWGRP 
1410,down the rabbit hole
1411,"Cloverdale, CA"
1412,In your dreams
1413,TX ✈️ LA 🛳 Seven Seas 
1414,MS Gulf Coast
1415,http://www.drjohnbergman.com/
1416,Bedford
1417,USA
1418,Former Intel / World Traveller
1419,A cloud☁️
1420,"St Louis, MO"
1421,"New Trumpshire, USA"
1422,"Aquarius🌞, Leo🌚, ⬆️Gemini"
1423,"Puebla, México"
1424,Eastern Washington
1425,http://www.drjohnbergman.com/
1426,"Charlotte, North Carolina"
1427,"Middletown, NY"
1428,"Bay Area, CA"
1429,"Kingston, Ontario"
1430,"Monterrey, México"
1431,"Texas, USA"
1432,"Portland, OR"
1433,Bay Area
1434,United States
1435,"Washington, USA"
1436,"Illinois, USA"
1437,"Atlanta, GA"
1438,"Baltimore, MD"
1439,México
1440,"San Mateo County, California"
1441,"Peterborough, Ontario, Canada"
1442,"Bay Area, CA"
1443,Eastcoast
1444,"Phoenix, AZ"
1445,"Maine, USA"
1446,"Upstate New York, NY"
1447,"Framingham, MA"
1448,"Maine, USA"
1449,"Texas, USA"
1450,"(Conway, Arkansas)"
1451,Asses
1452,USA
1453,"Dallas, TX"
1454,"Melbourne, Victoria"
1455,"Bronx, NY"
1456,Iligan City
1457,United States
1458,serenity 
1459,california
1460,Broward
1461,"Detroit, MI"
1462,"Seaside, California, USA"
1463,my home
1464,"Seaside, California, USA"
1465,Base Hereford
1466,New Zealand
1467,SomeWhere over the Rainbow
1468,my home
1469,Ottawa
1470,"Georgia, USA"
1471,Free Hanseatic City of Bremen
1472,"Milwaukee, WI"
1473,NorCal
1474,"Richmond, KY"
1475,Midwest United States
1476,"New Orleans, Louisiana."
1477,"Maine, USA"
1478,the zoo
1479,Utopia™
1480,South Carolina❤️
1481,"Pittsburgh, PA"
1482,"Bintulu, Sarawak"
1483,"Lafayette, CO"
1484,"Milwaukee, WI"
1485,"Overland Park, KS"
1486,"odenton, md"
1487,"San Mateo County, California"
1488,The Universe
1489,"Caro, MI"
1490,"Huntington Beach, CA"
1491,"Hetauda, Nepal"
1492,US
1493,United States
1494,USA
1495,"Washington, DC"
1496,New Zealand
1497,"Philadelphia, PA"
1498,VA
1499,Macedonian Content Farmer 
1500,"Washington, DC"
1501,NEO
1502,"Nashville, TN"
1503,Oman
1504,"Detroit, MI "
1505,"Wrightwood, CA"
1506,Nagpur
1507,"Toronto, Ontario Canada"
1508,"San Luis Obispo, CA"
1509,Mississippi
1510,"Central Okanagan, British Columbia"
1511,Barcelona Spain
1512,New Jersey
1513,Michigan
1514,Jamaica
1515,"Erlanger, KY"
1516,United States
1517,"Corinth, MS"
1518,"Anand, India"
1519,luke 1:37 / proverbs 31:25 🌺
1520,Malaysia 🇲🇾
1521,Land of the Sufis
1522,"Philadelphia, PA"
1523,London
1524,"Galveston, TX"
1525,"Arizona, USA"
1526,"Wrightwood, CA"
1527,"Indiana, USA"
1528,"Toronto, Ontario"
1529,Sports Purgatory
1530,"Boulder, CO"
1531,"Hudson Valley, New York"
1532,"Tempe, AZ"
1533,GA
1534,"Chicago, IL"
1535,Brisbane
1536,"Norfolk, VA"
1537,"San Diego, CA"
1538,NorCal
1539,"Canutillo, TX"
1540,"Kakistocracy, here there tither and yon"
1541,"Oregon, USA"
1542,"Lyon, France"
1543,Toronto
1544,"Harrisburg, PA"
1545,The United States of America
1546,https://gab.com/Neeto_Heeto
1547,GA
1548,Malaysia
1549,"Manchester, NH"
1550,"Berkeley, CA"
1551,"Ontario, Canada"
1552,Northern Illinois
1553,"Ann Arbor, MI"
1554,"Omaha, NE"
1555,"Ottawa, Canada"
1556,"Texas, USA"
1557,FL/VZLA
1558,"Tempe, AZ"
1559,Los Angeles
1560,United States
1561,Planet Earth
1562,"Pennsylvania, USA"
1563,"Columbus, OH"
1564,Australia
1565,"Salem, MO"
1566,USA
1567,"Wrightwood, CA"
1568,"odenton, md"
1569,"Houston, TX"
1570,Mister Rogers’ Neighborhood
1571,"Auburn, MA"
1572,"Behind you, USA"
1573,"New Jersey, USA"
1574,"Perris, California"
1575,A2 ✈️ Cali
1576,"Arlington, VA"
1577,Hell
1578,"Colorado, CO"
1579,peace
1580,"Toronto, Ontario"
1581,NYC
1582,"Little Rock, AR"
1583,"Nazareth, PA"
1584,"Tempe, AZ"
1585,"Shreveport, LA"
1586,"San Antonio, TX"
1587,The hills of TN
1588,Michigan
1589,"Maryland, USA"
1590,"Louisiana ✈️ Santa Cruz, CA"
1591,"Sacramento, CA"
1592,"Texas, USA"
1593,Cincinnati 
1594,out west
1595,San Francisco
1596,United States
1597,NFA
1598,PHL👣NYC
1599,"Hobart, Tasmania"
1600,"Mobile, AL"
1601,Davao Region
1602,"Cyberspace, baby!"
1603,US
1604,"Bossier City, LA"
1605,Pacific Northwest
1606,United States
1607,California
1608,2600
1609,"Virginia, USA"
1610,"Manhattan, Kansas"
1611,"South Carolina, USA"
1612,"British Columbia, Canada"
1613,United States
1614,"Manhattan, NY"
1615,"Trivandrum, India"
1616,US
1617,"Ottawa, Ontario"
1618,London and around the world
1619,Pale blue dot 
1620,"Behind you, USA"
1621,The Great USA 
1622,"Berkeley, CA"
1623,"Sacramento, CA"
1624,"Michigan, USA"
1625,"BBR, Klang."
1626,"Scottsdale, AZ"
1627,"chicago, il"
1628,"East Denpasar, Indonesia"
1629,"Tempe, AZ"
1630,"Western Wyoming, USA"
1631,Everett Washington USA
1632,US
1633,Chilling like a villian
1634,"Miami , FL"
1635,"Toronto, ON"
1636,US
1637,Indiana
1638,Everywhere
1639,Baltimore to Pa USA
1640,"New York, NY"
1641,"El Granada, CA"
1642,US
1643,"Red Creek, NY"
1644,"Houston, TX (and well beyond)"
1645,"Otisville, MI"
1646,"Curitiba, Brasil"
1647,"California, USA"
1648,Rural New Zealand
1649,"Freedom, USA"
1650,"Austin, TX"
1651,"Mid-Atlantic, USA"
1652,"Balaclava, Melbourne"
1653,chicago
1654,Ride or die
1655,NARnia
1656,Everywhere you want to be.
1657,"Oklahoma, USA"
1658,Malaysia
1659,ㅤㅤㅤㅤ
1660,World Wide
1661,TEXAS
1662,she/her/hers
1663,chicago
1664,"Santa Fe, NM"
1665,Oak Harbor WA
1666,United States
1667,"Skaneateles, NY"
1668,PG
1669,"Dallas, Texas, USA"
1670,"Tucson, AZ"
1671,U.S.A.
1672,Coastal Elite 
1673,OLY
1674,trans
1675,"Hamilton, Ontario"
1676,Canada
1677,"Brooklyn, NY (they/them only)"
1678,"Missouri, USA"
1679,"Bethel Park, PA"
1680,JP
1681,"Savannah, GA "
1682,Closer than you'd imagine
1683,Sebelahnya galaksi bimasakti
1684,"Michigan, USA"
1685,"Atlanta, GA"
1686,"Texas, USA"
1687,Australia
1688,Kentucky
1689,Ride or die
1690,"New Brunswick, Canada"
1691,CT River Valley USA
1692,215
1693,Canada
1694,US
1695,Los Angeles/ Ibiza / Germany/
1696,World
1697,"Mesa, Arizona (USA)"
1698,"Rancho Cucamonga, CA"
1699,AZ
1700,"Moreno Valley, CA"
1701,Global Village
1702,US
1703,"DeKalb, IL"
1704,Los Angeles
1705,College Station | HTX 
1706,"Toronto, Ontario"
1707,"Rancho Cucamonga, CA"
1708,"California, USA"
1709,"Bowling Green, KY"
1710,New York City
1711,"Washington, USA"
1712,US
1713,"San Francisco, CA"
1714,illinois
1715,"Las Vegas, NV"
1716,"Rochester, MN"
1717,"Fresno, CA"
1718,"Pennsylvania, USA"
1719,"Russellville, Alabama"
1720,"Alpharetta, GA"
1721,in a fictional land
1722,That “Dangerous” Neighborhood
1723,"41,000 ft"
1724,San Francisco
1725,Western North Carolina
1726,"St Louis, Missouri"
1727,Republic of Maharlika
1728,w
1729,"Barnstable Town, MA"
1730,bay area
1731,"Washington, USA"
1732,"Texas, USA"
1733,"Georgia, USA"
1734,"Los Angeles, CA"
1735,"Tampa, FL"
1736,"Coquitlam, British Columbia"
1737,kileysmileyk@gmail.com
1738,"Chicago, IL"
1739,United States
1740,"Washington, DC"
1741,"North Dakota, USA"
1742,US
1743,"Nashville, TN"
1744,"Davis, CA"
1745,"Wrightwood, CA"
1746,NJ | NYC | Paris | SF | WY
1747,"Lima, Peru"
1748,USA
1749,US
1750,"Charlotte, NC"
1751,US
1752,"San Diego, CA"
1753,"North Carolina, USA"
1754,"Paramount, CA"
1755,"Atlanta, Georgia"
1756,"West Virginia, USA"
1757,Texas
1758,"Toronto, Ontario"
1759,"Barnstable Town, MA"
1760,"Chicago, IL"
1761,Still Above Ground
1762,U.S.A.
1763,God's country= The USofA   
1764,Florida☀️
1765,Minneapolis
1766,"Salt Lake City, Utah"
1767,United States
1768,US
1769,"Victoria, British Columbia"
1770,"Toronto, Ontario"
1771,"Canandaigua, NY"
1772,Malaysia & Singapore
1773,"Louisiana, New Orleans"
1774,United States
1775,US
1776,"Baltimore, MD"
1777,"in Florence, Italy ❤️💙💜💚💛"
1778,"California, USA"
1779,US
1780,Houston
1781,"Indiana, USA"
1782,"Tempe, AZ"
1783,United States🇺🇸🇺🇸🇺🇸
1784,"Tempe, AZ"
1785,New York
1786,"Tucson, AZ"
1787,US
1788,K’jipuktuk/Halifax 
1789,"Colorado Springs, CO"
1790,Chandigarh
1791,"Butuan City, Caraga"
1792,Virginia
1793,selangor-perak-pahang
1794,MY
1795,The great white north...
1796,US
1797,"Edmonds, WA"
1798,Arizona 
1799,United States
1800,"Chicago, IL"
1801,"Indianapolis, IN"
1802,U.S.A.
1803,"Goiânia, Goiás, Brazil"
1804,"Tempe, AZ"
1805,"Atlanta, GA"
1806,"California, USA"
1807,"berlin, germany"
1808,"San Marcos, TX"
1809,"Illinois, USA"
1810,"State College, PA"
1811,"East Region, Singapore"
1812,"New York, NY"
1813,HydroMolecularMed 993 120-5833
1814,"Normal, IL"
1815,Etx
1816,nj / bos
1817,"Windsor,Ontario"
1818,"California, USA"
1819,United States
1820, 
1821,uiowa
1822,"Alabama, USA"
1823,"North Carolina, USA"
1824,#YEG
1825,"Pug Town, USA"
1826,United States
1827,"41,000 ft"
1828,"Tempe, AZ"
1829,"Santa Fe, NM"
1830,Troy
1831,"Texas, USA"
1832,"Raleigh, NC"
1833,America
1834,Best Coast
1835,"North Chesterfield, VA"
1836,"Gilbert, AZ"
1837,"Kensington, Maryland 20895"
1838,"Elizabeth City, NC"
1839,"Ohio, USA"
1840,Canada
1841,"Fair Haven, MI"
1842,"Fort Worth, TX"
1843,"Maui, HI"
1844,"Florida, USA"
1845,United States
1846,US
1847,"Fargo, ND"
1848,Michigan
1849,"Aledo, IL"
1850,US
1851,United States
1852,"Portland, OR"
1853,Canada
1854,"Coloma, MI"
1855,"Austin, TX"
1856,"Athens, GA  + Franklin, TN"
1857,a Chinese buffet...probably
1858,US
1859,"Arlington, TX"
1860,"Laurinburg, NC"
1861,London ON
1862,270✈️317 
1863,"Arkansas, USA"
1864,"Buffalo, NY"
1865,stream trench
1866,"Rochester, NY"
1867,New York
1868,"chicago,il"
1869,"Doaneland, USA"
1870,TX
1871,Brooklyn NY
1872,"Georgia, USA"
1873,Location is an illusion
1874, alberta 🇨🇦
1875,"Sydney, New South Wales"
1876,"Ottawa, Ontario, Canada"
1877,"Atlanta, GA"
1878,"aviano, italy // mercedes, tx"
1879,"Ulu Kelang, Selangor"
1880,Detroit
1881,"Wrightwood, CA"
1882,"osaka, jp"
1883,Los Angeles
1884,"Clearfield, UT"
1885,"Texas, USA"
1886,WNY
1887,"Ottawa, Ontario, Canada"
1888,"Mississauga, Ontario"
1889,Boston adjacent
1890,"New Jersey, USA"
1891,"Elizabeth, NJ"
1892,New Zealand
1893,United States
1894,in another atmosphere 
1895,Kuantan
1896,"Tennessee, USA"
1897,"Chetwynd, British Columbia. "
1898,she/her they/them
1899,Indonesia
1900,East of Mississippi
1901,jersey
1902,Utopia
1903,"Salt Lake City, UT"
1904,Middle East
1905,"Saint John, NB"
1906,"Louisville, Ky"
1907,"41° 50′ 43″ N, 71° 35′ 28″ W"
1908,"Salt Lake City, Utah"
1909,he/him
1910,"Texas, USA"
1911,www.lauralarue.com
1912,Canada
1913,"Georgia, USA"
1914,"Nebraska, USA"
1915,idaho
1916,"Tucson, AZ"
1917,"Kjipuktuk/Dartmouth, NS"
1918,Shah Alam
1919,"Boston, MA"
1920,"Portland, OR"
1921,"Englewood,Colorado"
1922,"Woodbridge, VA USA"
1923,lexington ky
1924,"Boston, MA"
1925,Indianapolis//Paris/NYC
1926,"Norristown, PA"
1927,"California, USA"
1928,"Florida, USA"
1929,Come on Feel the Illinoise
1930,California
1931,United States
1932,"Virginia, USA"
1933,"Texas, USA"
1934,"Central Okanagan, British Columbia"
1935,"Wrightwood, CA"
1936,Texas
1937,"Tucson, Arizona "
1938,"Manhattan, NY 🗽"
1939,Chicago area
1940,"Denver, Colorado"
1941,United States
1942,"Texas, USA"
1943,"Webster, NY"
1944,"Lubbock, TX"
1945,"Salt Lake City, UT"
1946,US
1947,Federated States of Micronesia
1948,Chicago area
1949,"Indiana, USA"
1950,Houston
1951,"Toronto, Ontario"
1952,"Livermore, CA"
1953,Philippines
1954,"Mountain View, CA"
1955,greasy creek/tellico plains
1956,Chattanooga
1957,"Washington, DC"
1958,A Place In My Mind
1959,"New Mexico, USA"
1960,"Swampscott, MA"
1961,The OC
1962,"Chicago, IL"
1963,Silicon Valley
1964,New Zealand
1965,"Spokane, Washington"
1966,western N.Y.
1967,"Salt Lake City, Utah"
1968,"Wichita Falls, Texas"
1969,SF
1970,"Wrightwood, CA"
1971,"Mississauga, Ontario"
1972,👽
1973,"Slayton, MN. 56172"
1974,United States
1975,"Halifax, Nova Scotia"
1976,Central Virginia
1977,Planet Erf
1978,"Stillwater, OK"
1979,my head
1980,Blue dot in a Red state 
1981,"Connecticut, USA"
1982,UCF
1983,"Wisconsin, USA"
1984,America
1985,#NETX
1986,Hell
1987,"Ohio, USA"
1988,"New York, NY"
1989,hiding on Pluto
1990,"Riceville, Iowa"
1991,"Oklahoma City, OK"
1992,"Bogor, Jawa Barat"
1993,"Manhattan, NY"
1994,Bangalore
1995,"Toronto, Ontario"
1996,"Oklahoma City, OK"
1997,"Omaha, NE"
1998,"Texas, USA"
1999,"Bellingham, WA"
2000,"Columbus, OH"
2001,"Seattle, WA"
2002,"Washington, USA"
2003,"Columbus, OH"
2004,Dark Side of the Moon
2005,US
2006,USA
2007,Toronto
2008,"Washington, USA"
2009,space time 
2010,"North Carolina, USA"
2011,"Oklahoma City, OK"
2012,"Webster, NY"
2013,boston
2014,"here, there, everywhere"
2015,US
2016,"Yaggera Land (Brisbane, AU)"
2017,"Custer County, Nebraska "
2018,United States
2019,"Washington, DC"
2020,"Idaho, USA"
2021,Los Angeles
2022,Rep. Dominicana
2023,"Distrito Federal, México"
2024,United States
2025,"Tempe, AZ"
2026,"Gatineau, Québec"
2027,Apple valley ca
2028,"Chertsey, South East"
2029,"Harrisburg, PA"
2030,NYC - Boston - Chicago - SF
2031,Illinois
2032,"Montana, USA"
2033,Canada
2034,Colorado
2035,"Providence, RI"
2036,United States
2037,"Toronto, Ontario"
2038,"San Francisco, CA"
2039,"Milwaukee, WI"
2040,"Elizabeth, NJ"
2041,New Lebanon
2042,"New York, NY"
2043,TORONTO • CANADA
2044,"Indianapolis, IN"
2045,"Houston, TX"
2046,US
2047,Washington
2048,WI/ WV
2049,"Cornell University, University of Toronto"
2050,"Tucson, AZ"
2051,United States
2052,Illinois
2053,Zebulon
2054,"Kansas City, MO"
2055,"Ellicottville, NY"
2056,"Texas, USA"
2057,鹿児島
2058,UK and the Philippines
2059,ARCTIC
2060,SOMEWHERE IN TIME. USA
2061,"New York, USA"
2062,"Washington, DC"
2063,", NJ"
2064,"Lafayette, LA"
2065,"Columbus, OH"
2066,"Denver, CO"
2067,Bowling Green Ky
2068,"Dallas, TX"
2069,"Columbus, Ohio"
2070,Minnesota 
2071,United States
2072,"Wolcott, CT"
2073,"NoVA, USA"
2074,"Brooklyn, NY"
2075,"Vincy|| Boston, MA"
2076,Denver
2077,"Texas, USA"
2078,"boston, ma & lbts, fl"
2079,"Labelle, FL"
2080,"Lafayette, LA"
2081,"South Carolina, USA"
2082,Denver
2083,"Illinois, USA"
2084,"Bostonish, MA"
2085,Perak-Petaling Jaya-Makkah ✈✈✈
2086,"California, USA"
2087,"New Jersey, USA"
2088,?
2089,aurora co 
2090,"Texas, USA"
2091,"Washington, DC"
2092,"Santa Clara, CA"
2093,"Costa Mesa, CA"
2094,"Houston, Texas"
2095,"Atlanta, GA"
2096,"Portland, OR"
2097,"El Monte, CA"
2098,"Huntington Beach, CA"
2099,"Westminster, CO"
2100,"Virginia, USA"
2101,nyc.347
2102,"Winnipeg, Manitoba"
2103,"Rochdale, England"
2104,Indonesia
2105,"Oshawa, Ontario"
2106,"Newtown Square, PA"
2107,"Apex, NC"
2108,washington dc
2109,St. Anthony ❤
2110,CLE 
2111,Kadohadacho Caddoan Land
2112,Hill Country-Texas
2113,"Central Java, Indonesia"
2114,"California, USA"
2115,Fly Over Nation
2116,"Washington, DC"
2117,hell
2118,"Asbury Park, NJ"
2119,"London, Sverige & China "
2120,Lincoln Nebraska
2121,I unfollow if you do!  NO List
2122,"Islamabad, Pakistan"
2123,Jakarta 🇮🇩
2124,"Richmond, VA"
2125,"New York, USA"
2126,"Reno, "
2127,"Montreal, Canadia"
2128,"Dublin City, Ireland"
2129,"Arkansas, United States"
2130,Utopia
2131,Yogyakarta
2132,"Bakersfield, CA"
2133,Shah Alam
2134,Child of the most high GOD
2135,Yellow City
2136,"Fayetteville, GA"
2137,Los Angeles
2138,"Cleveland, TN"
2139,"Cincinnati, OH"
2140,"Finch Hatton, QLD"
2141,New York/Bengaluru
2142,🇲🇽
2143,"Eureka, CA"
2144,"Blair, NE"
2145,"New York, NY"
2146,"Boston, MA"
2147,AZ
2148,"NoVA, USA"
2149,Earth
2150,"Minneapolis, MN"
2151,"Vinings, GA"
2152,さむいとこ
2153,"Batesville, AR"
2154,Team USA
2155,"Kalaoa, HI"
2156,OZ
2157,manchester
2158,Just me and myself
2159,North Jersey
2160,"Ohio, USA"
2161,USA
2162,beyond the scope of normalcy
2163,Los Angeles
2164,"Tipp City, OH"
2165,"Columbus, OH"
2166,"Maryland, USA"
2167,"San Diego, CA"
2168,"Maryland, USA"
2169,Middle Tennessee
2170,São Luis
2171,sih n mandy 💗
2172,America
2173,"Los Angeles, CA"
2174,"Kuala Lumpur, Wilayah Persekut"
2175,"Baton Rouge, LA"
2176,Merica
2177,"Burr Ridge, IL"
2178,"Vail, CO"
2179,The Lost City of Atlantis
2180,Texas
2181,"Waterloo, IA"
2182,"Riverside, CA"
2183,"Wichita, KS"
2184,"Toledo, OH"
2185,"Arizona, USA"
2186,Earth
2187,DC/AL
2188,Canada
2189,Penn State
2190,"Bryan, TX"
2191,"Port Place, Nanaimo, BC"
2192,California
2193,"Rockford, IL"
2194,"Washington, DC"
2195,occupied Lenape territory
2196,Western N.Y 
2197,illinois wesleyan university
2198,"St Joseph, MO"
2199,Long Beach
2200,Honduras
2201,Norfolk
2202,"Houston, TX"
2203,"King County, Washington, USA"
2204,"Washington, DC"
2205,"St Peter, MN"
2206,"Wichita, Kansas"
2207,Florida
2208,"Los Angeles, CA"
2209,"Tallahassee, FL"
2210,"Alberta, Canada"
2211,"God's Heart, Throne Room"
2212,"Tallahassee, FL"
2213,World
2214,World
2215,"Tallahassee, FL"
2216,Scotland
2217,"Georgia, USA"
2218,"Pennsylvania, USA"
2219,"Nova Scotia, Canada"
2220,￣_ゝ￣)ﾉ多摩川と相模湾の狭間
2221,"iPhone: 37.894020,-122.484962"
2222,"Kings Park, NY"
2223,"Florida, USA"
2224,Wales
2225,"Los Angeles, California"
2226,Eldorado
2227,"Overland Park, KS"
2228,"Ohio, USA"
2229,"Louisville, Kentucky"
2230,"Liaoning, People's Republic of China"
2231,"Shepherdstown, WV"
2232,Waco
2233,"Florida, USA"
2234,ASEAN 
2235,"Pennsylvania, USA"
2236,"Boise, ID"
2237,IHOP
2238,Los Angeles
2239,"Florida, USA"
2240,"Nevada, USA"
2241,"Englewood,Colorado"
2242,"Houston, TX (and well beyond)"
2243,"New Orleans, Baton Rouge"
2244,"San Francisco, CA"
2245,Cleveland middle and high schools
2246,Netherlands
2247,"Putrajaya, Putrajaya Federal Territory"
2248,U of North Carolina
2249,Lives on Earth
2250,Pullman
2251,"Lyndhurst, OH"
2252,"Winnipeg, Manitoba"
2253,"El Paso, TX"
2254,Singapore
2255,Long Island
2256,"Ashland, OR, USA"
2257,"Belmont, NC"
2258,"Columbus, OH"
2259,"Illinois, USA"
2260,"Galveston, TX"
2261,ssamelpan@gmail.com
2262,"London, Airstrip One (Oceania)"
2263,"California, USA"
2264,Clt
2265,Out here slangin dick
2266,Baton Rouge LA
2267,United States
2268,"Temecula, CA"
2269,"(Conway, Arkansas)"
2270,"Corpus Christi, TX"
2271,"South Carolina, USA"
2272,"Palo Alto, CA"
2273,"Houston, TX"
2274,"Brooklyn Center, MN"
2275,"Massachusetts, USA"
2276,"Florianópolis, Brasil"
2277,rabat
2278,Los Angeles
2279,United States
2280,"Hackensack, NJ"
2281,"Omaha, NE"
2282,my joints are unlit
2283,Toronto
2284,Albuquerque
2285,"Mississauga, Ontario"
2286,"Port Clinton, OH"
2287,"Portland, Oregon"
2288,texas
2289,"Research Triangle Park, NC"
2290,"Ashland, OR, USA"
2291,"Salt Lake City, Utah"
2292,san francisco
2293,"Austin, TX"
2294,"Indiana, US"
2295,"Alberta, Canada"
2296,St. Augustine FL
2297,United States
2298,"Menomonee Falls, WI"
2299,"Fort Myers, FL"
2300,"Houston, TX, USA"
2301,"Ohio, USA"
2302,Broken Hill - Toowoomba
2303,"Minneapolis, MN"
2304,501.
2305,"Oklahoma, USA"
2306,"San Diego, CA"
2307,crying with alma at csub
2308,"Portland, OR"
2309,Laois
2310,USA
2311,USA
2312,The greatest country on Earth
2313,"Home@surrey,bc"
2314,"Annapolis, MD"
2315,United States
2316,United States
2317,"Columbus, GA"
2318,"Olathe, KS"
2319,"San Antonio, TX"
2320,"Dallas, TX"
2321,Ind
2322,Grey Sloan Memorial 
2323,"Portland, OR"
2324,Global
2325,#Cleveland #Ohio  
2326,Vallbhipur Gujrat India
2327,USA
2328,"ڈیرہ غازی خان, پاکستان"
2329,"Bridge City, TX"
2330,"Virginia Beach, VA"
2331,kuala lumpur
2332,"Irvine, CA"
2333,"Los Angeles, CA"
2334,"Omaha, Neb"
2335,"Golconda, il"
2336,Eastern Washington
2337,Somewhere In The Woods
2338,"Warwick, RI"
2339,In Someone's Basement
2340,West Virginia
2341,Eastern Washington
2342,"Brooklyn,NY"
2343,"Cedar Falls, Iowa"
2344,"Denver, CO"
2345,"Red Lake, ON via NB and AB"
2346,earth
2347,United States
2348,schrödiger's cat's box
2349,"Stockton, California"
2350,"New Haven, CT"
2351,8th Circle of Hell 
2352,"Denver, CO"
2353,Houston
2354,USA
2355,"Nairobi,Kenya"
2356,中国杭州
2357,exo twice 
2358,Maine
2359,"Toledo, OH"
2360,wadu
2361,United States
2362,"Manila, Philippines"
2363,"Boston, MA, USA"
2364,"New Orleans, LA"
2365,Colombia
2366,bitch I'm not friendly
2367,philly
